from,to
WorkflowRule,Role
Role,Member
MemberRole,Member
Tracker,IssueCustomField
CustomValue,Version
CustomValue,Document
CustomValue,Enumeration
CustomValue,Group
CustomValue,GroupBuiltin
CustomValue,GroupNonMember
CustomValue,GroupAnonymous
CustomValue,DocumentCategory
CustomValue,IssuePriority
Attachment,Document
Principal,Member
Principal,IssueCategory
Principal,EmailAddress
WorkflowTransition,Role
WorkflowPermission,Role
TimeEntryActivity,Enumeration
